Age,Rating,Weather_conditions,Traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Preparation_Time,Delivery_Time
33.0,5.0,Sandstorms,0,0,Buffet,motorcycle,0.0,0,Urban,24,16.818368923732613,5.0,19.0
36.0,4.9,Fog,1,2,Drinks,scooter,1.0,0,Metropolitian,17,6.128551257919138,15.0,2.0
21.0,4.8,Sandstorms,0,2,Meal,electric_scooter,0.0,0,Metropolitian,14,2.996250036665907,10.0,4.0
39.0,4.9,Stormy,3,2,Meal,motorcycle,1.0,0,Metropolitian,30,7.342175722857793,10.0,20.0
23.0,4.8,Stormy,0,1,Meal,scooter,1.0,0,Metropolitian,15,3.145067434621583,10.0,5.0
35.0,4.8,Fog,1,2,Buffet,scooter,1.0,0,Urban,16,6.290134677634678,10.0,6.0
39.0,4.6,Cloudy,3,1,Snack,scooter,1.0,0,Metropolitian,36,13.972123977178622,5.0,31.0
22.0,4.7,Sunny,2,1,Buffet,scooter,1.0,0,Urban,18,6.081440797008078,5.0,13.0
32.0,4.6,Fog,1,1,Meal,scooter,0.0,0,Metropolitian,17,6.080891507842322,15.0,2.0
24.0,4.8,Sandstorms,0,1,Buffet,motorcycle,1.0,0,Urban,15,12.58026782240096,5.0,10.0
29.0,4.7,Fog,0,0,Buffet,motorcycle,1.0,0,Metropolitian,17,3.145067434621583,10.0,7.0
26.0,4.7,Fog,0,1,Buffet,motorcycle,0.0,0,Metropolitian,10,9.220373067021216,10.0,0.0
20.0,4.5,Fog,3,1,Drinks,motorcycle,1.0,0,Metropolitian,27,7.8626681674103684,15.0,12.0
35.0,4.1,Sandstorms,3,1,Buffet,motorcycle,2.0,0,Metropolitian,37,13.96960642768458,15.0,22.0
39.0,4.6,Fog,3,1,Drinks,scooter,2.0,0,Metropolitian,44,13.973206773137713,10.0,34.0
34.0,4.7,Windy,2,2,Drinks,electric_scooter,1.0,0,Metropolitian,28,6.058853851669116,10.0,18.0
27.0,4.7,Cloudy,3,2,Snack,scooter,1.0,0,Metropolitian,42,17.07799287216204,10.0,32.0
30.0,4.8,Windy,0,1,Snack,motorcycle,1.0,0,Metropolitian,25,17.29786575291325,15.0,10.0
25.0,4.4,Cloudy,1,2,Snack,scooter,1.0,0,Metropolitian,39,17.072871906399556,5.0,34.0
25.0,4.7,Stormy,1,0,Meal,motorcycle,0.0,0,Urban,20,16.818368923732613,5.0,15.0
30.0,5.0,Stormy,2,1,Buffet,motorcycle,1.0,0,Metropolitian,31,2.979502850576494,5.0,26.0
24.0,4.6,Stormy,3,1,Buffet,motorcycle,0.0,0,Metropolitian,13,9.220865975037842,10.0,3.0
39.0,4.8,Stormy,3,1,Meal,motorcycle,1.0,0,Metropolitian,28,7.661331134220826,15.0,13.0
25.0,4.8,Windy,2,1,Snack,scooter,1.0,0,Urban,19,6.1755160934059985,5.0,14.0
37.0,4.6,Fog,0,0,Buffet,motorcycle,2.0,1,Urban,42,12.209856560906529,15.0,27.0
24.0,5.0,Fog,0,0,Drinks,motorcycle,1.0,0,Metropolitian,23,1.5526813140972442,5.0,18.0
25.0,4.2,Stormy,3,0,Meal,motorcycle,1.0,0,Metropolitian,39,16.902806732498032,15.0,24.0
32.0,4.6,Stormy,0,2,Drinks,motorcycle,1.0,0,Metropolitian,25,1.5093577696337532,10.0,15.0
34.0,4.7,Sandstorms,0,1,Drinks,scooter,0.0,0,Metropolitian,15,9.220209378254708,10.0,5.0
38.0,4.9,Cloudy,0,2,Drinks,scooter,1.0,0,Urban,15,3.0251186390184004,15.0,0.0
36.0,4.8,Sunny,1,2,Buffet,electric_scooter,0.0,0,Metropolitian,15,13.407092693002484,5.0,10.0
25.0,5.0,Stormy,3,1,Meal,motorcycle,1.0,0,Metropolitian,15,16.721976048741215,15.0,0.0
29.0,5.0,Sunny,0,0,Drinks,motorcycle,0.0,0,Metropolitian,18,7.772343594464243,5.0,13.0
36.0,4.7,Sandstorms,0,2,Drinks,electric_scooter,0.0,0,Metropolitian,29,13.773737657079298,10.0,19.0
33.0,4.7,Fog,0,0,Snack,motorcycle,0.0,0,Metropolitian,20,7.790158927084966,5.0,15.0
36.0,4.4,Cloudy,2,2,Meal,scooter,1.0,0,Metropolitian,39,6.217834398578936,15.0,24.0
21.0,4.8,Windy,0,0,Snack,motorcycle,0.0,0,Metropolitian,19,16.852834881460105,15.0,4.0
25.0,4.8,Cloudy,0,1,Snack,scooter,1.0,0,Urban,19,4.610035602260694,10.0,9.0
23.0,4.8,Windy,0,0,Meal,motorcycle,0.0,0,Metropolitian,17,19.879870677373702,10.0,7.0
25.0,4.6,Stormy,0,2,Snack,motorcycle,1.0,0,Urban,15,1.5580833985948437,15.0,0.0
24.0,4.3,Sandstorms,0,0,Meal,motorcycle,0.0,0,Urban,19,3.025332706173566,10.0,9.0
27.0,4.6,Sandstorms,3,0,Buffet,motorcycle,1.0,0,Metropolitian,29,13.97194896017493,15.0,14.0
23.0,4.8,Cloudy,0,2,Snack,scooter,1.0,0,Urban,22,16.83090555193196,5.0,17.0
21.0,4.3,Fog,3,1,Drinks,scooter,0.0,0,Metropolitian,42,20.207797933358158,10.0,32.0
27.0,4.7,Sandstorms,0,2,Snack,scooter,0.0,0,Urban,12,3.040641621538495,15.0,-3.0
32.0,4.2,Cloudy,3,1,Snack,motorcycle,1.0,0,Metropolitian,38,20.253785359470783,10.0,28.0
25.0,4.6,Sunny,0,0,Drinks,motorcycle,1.0,0,Metropolitian,23,16.72129600980331,15.0,8.0
39.0,4.7,Cloudy,0,1,Meal,scooter,0.0,0,Metropolitian,15,2.9845507897866907,15.0,0.0
27.0,4.6,Sunny,0,0,Snack,motorcycle,1.0,0,Metropolitian,24,12.161450531436758,5.0,19.0
39.0,3.8,Windy,3,1,Drinks,motorcycle,0.0,0,Metropolitian,37,16.822155609317257,10.0,27.0
31.0,4.8,Sandstorms,0,1,Snack,scooter,0.0,0,Metropolitian,24,7.762556904358442,10.0,14.0
31.0,4.8,Sunny,0,2,Buffet,electric_scooter,0.0,0,Metropolitian,13,9.055855161965923,5.0,8.0
20.0,4.8,Cloudy,0,0,Drinks,motorcycle,0.0,0,Metropolitian,16,1.5545816630911855,15.0,1.0
36.0,4.9,Cloudy,1,0,Drinks,motorcycle,1.0,0,Urban,42,12.074047498027575,10.0,32.0
20.0,4.9,Sandstorms,0,0,Meal,motorcycle,1.0,0,Metropolitian,17,13.580373876280879,10.0,7.0
24.0,4.6,Cloudy,3,0,Drinks,motorcycle,0.0,0,Metropolitian,25,4.469620875558295,15.0,10.0
39.0,4.2,Fog,1,1,Snack,scooter,0.0,0,Metropolitian,39,16.63487011821184,5.0,34.0
37.0,4.8,Sunny,2,2,Meal,scooter,0.0,0,Metropolitian,18,6.232139486668102,10.0,8.0
32.0,4.9,Sandstorms,1,2,Drinks,motorcycle,1.0,0,Metropolitian,28,6.209021101535612,10.0,18.0
22.0,4.5,Sandstorms,0,1,Drinks,scooter,1.0,0,Metropolitian,18,7.460830127736633,15.0,3.0
23.0,4.9,Windy,0,1,Meal,scooter,0.0,0,Metropolitian,18,20.253785359470783,10.0,8.0
33.0,4.7,Fog,3,1,Snack,scooter,1.0,0,Metropolitian,49,16.600975700594585,10.0,39.0
23.0,4.7,Sunny,0,0,Drinks,motorcycle,0.0,0,Metropolitian,15,4.540321372891478,10.0,5.0
27.0,4.6,Sunny,0,0,Drinks,motorcycle,1.0,0,Metropolitian,21,12.421212735966002,5.0,16.0
34.0,4.7,Sunny,2,2,Snack,scooter,0.0,0,Metropolitian,23,6.1187118466897275,15.0,8.0
26.0,5.0,Fog,0,2,Meal,scooter,1.0,0,Urban,11,1.520431947999248,10.0,1.0
31.0,4.6,Cloudy,3,0,Snack,motorcycle,0.0,0,Metropolitian,25,9.087972744661085,15.0,10.0
32.0,4.9,Fog,0,2,Snack,motorcycle,0.0,0,Metropolitian,18,3.0644871057616703,5.0,13.0
27.0,4.7,Cloudy,0,1,Buffet,motorcycle,0.0,0,Metropolitian,14,3.025144329113595,10.0,4.0
21.0,4.9,Windy,1,0,Drinks,motorcycle,2.0,0,Metropolitian,36,13.973206773137713,10.0,26.0
28.0,4.8,Fog,0,1,Drinks,motorcycle,1.0,0,Metropolitian,18,7.763102784727143,5.0,13.0
24.0,4.9,Fog,1,1,Meal,scooter,1.0,0,Urban,17,6.290134677634678,15.0,2.0
33.0,4.4,Sandstorms,0,0,Snack,motorcycle,1.0,0,Metropolitian,28,1.5368503798521727,10.0,18.0
20.0,4.6,Fog,3,0,Buffet,motorcycle,0.0,1,Metropolitian,44,13.97317756157655,15.0,29.0
31.0,4.3,Windy,0,0,Snack,motorcycle,1.0,0,Metropolitian,20,9.348403522662325,15.0,5.0
36.0,5.0,Fog,3,1,Snack,motorcycle,1.0,0,Metropolitian,35,10.602467987619507,10.0,25.0
31.0,4.2,Sandstorms,3,0,Meal,motorcycle,1.0,0,Metropolitian,50,17.076258901183188,10.0,40.0
39.0,4.1,Stormy,3,1,Meal,scooter,1.0,0,Metropolitian,34,9.22083460710881,5.0,29.0
29.0,4.6,Sunny,3,2,Meal,electric_scooter,1.0,0,Metropolitian,17,12.161605446010208,15.0,2.0
29.0,4.6,Sandstorms,2,1,Snack,scooter,0.0,0,Urban,23,6.080882967594327,10.0,13.0
37.0,4.9,Fog,1,0,Buffet,motorcycle,1.0,0,Metropolitian,27,4.674143698976439,10.0,17.0
33.0,4.7,Cloudy,2,0,Snack,motorcycle,0.0,0,Urban,26,6.290134677634678,10.0,16.0
31.0,3.9,Cloudy,0,1,Buffet,scooter,1.0,0,Metropolitian,35,10.709003371535417,10.0,25.0
37.0,4.6,Windy,2,0,Drinks,motorcycle,1.0,0,Urban,41,6.290134677634678,5.0,36.0
26.0,4.4,Sandstorms,0,0,Buffet,motorcycle,0.0,0,Metropolitian,23,9.31488473286169,10.0,13.0
24.0,4.6,Stormy,1,0,Snack,motorcycle,0.0,0,Metropolitian,30,17.137482577838597,10.0,20.0
23.0,4.8,Windy,0,1,Buffet,scooter,1.0,0,Metropolitian,19,3.145067434621583,10.0,9.0
36.0,4.9,Windy,0,1,Buffet,scooter,1.0,0,Metropolitian,27,1.5725337292863206,15.0,12.0
39.0,4.8,Cloudy,2,0,Snack,motorcycle,1.0,0,Metropolitian,28,6.21800234869445,15.0,13.0
20.0,4.7,Sandstorms,1,0,Drinks,motorcycle,1.0,0,Metropolitian,24,12.463883024166657,10.0,14.0
20.0,5.0,Cloudy,3,0,Meal,motorcycle,1.0,0,Urban,36,20.206581510507974,15.0,21.0
29.0,4.3,Sandstorms,0,0,Buffet,motorcycle,0.0,0,Metropolitian,28,9.081116432461174,5.0,23.0
36.0,4.8,Fog,1,2,Drinks,motorcycle,1.0,0,Urban,31,17.138077427627863,5.0,26.0
36.0,4.0,Sunny,3,0,Meal,motorcycle,3.0,0,Metropolitian,44,13.631343698142908,5.0,39.0
22.0,4.8,Windy,0,1,Drinks,scooter,1.0,0,Metropolitian,15,12.074063090452917,15.0,0.0
38.0,4.4,Windy,1,0,Buffet,motorcycle,1.0,0,Metropolitian,33,10.723264172167632,5.0,28.0
39.0,4.9,Fog,3,0,Buffet,motorcycle,0.0,0,Metropolitian,30,7.600994631258686,15.0,15.0
24.0,4.9,Stormy,1,1,Snack,scooter,1.0,0,Metropolitian,22,7.562982485200133,10.0,12.0
30.0,4.1,Fog,0,0,Snack,motorcycle,0.0,0,Metropolitian,43,11.007734763744619,10.0,33.0
35.0,4.8,Fog,1,0,Meal,motorcycle,3.0,0,Metropolitian,48,13.829314445199353,10.0,38.0
33.0,4.5,Stormy,0,2,Drinks,electric_scooter,1.0,0,Metropolitian,19,13.969116967730173,10.0,9.0
39.0,4.7,Windy,1,1,Snack,motorcycle,1.0,0,Urban,21,10.92326745824626,5.0,16.0
31.0,4.3,Windy,3,1,Drinks,motorcycle,0.0,0,Metropolitian,44,12.117036432265502,10.0,34.0
37.0,4.5,Windy,0,2,Drinks,scooter,0.0,0,Metropolitian,26,1.5525704156536744,15.0,11.0
37.0,4.7,Windy,0,1,Buffet,scooter,1.0,0,Metropolitian,26,4.663566689152146,5.0,21.0
33.0,5.0,Windy,2,1,Meal,motorcycle,1.0,0,Metropolitian,31,1.5294972211332267,5.0,26.0
24.0,4.6,Stormy,0,2,Meal,scooter,1.0,0,Urban,19,9.435201537430713,15.0,4.0
33.0,4.5,Sunny,3,1,Snack,scooter,0.0,0,Metropolitian,18,11.916757259074618,5.0,13.0
39.0,4.7,Fog,1,2,Meal,motorcycle,1.0,0,Metropolitian,38,10.486117701549256,10.0,28.0
37.0,4.6,Cloudy,1,1,Snack,motorcycle,1.0,0,Metropolitian,32,13.583078662317007,10.0,22.0
25.0,4.9,Sandstorms,0,2,Meal,scooter,1.0,0,Metropolitian,17,7.6831914051315,5.0,12.0
28.0,4.8,Fog,1,1,Buffet,scooter,1.0,0,Urban,11,9.193093962702912,10.0,1.0
38.0,4.7,Windy,2,2,Buffet,motorcycle,1.0,0,Metropolitian,31,6.217883647558105,10.0,21.0
31.0,4.6,Windy,1,0,Meal,motorcycle,0.0,0,Metropolitian,25,9.326872529115304,10.0,15.0
25.0,4.8,Cloudy,3,2,Snack,motorcycle,1.0,0,Metropolitian,22,9.179538450826046,15.0,7.0
35.0,4.9,Fog,3,0,Drinks,motorcycle,3.0,0,Metropolitian,43,10.880651848535559,5.0,38.0
39.0,4.7,Fog,3,0,Buffet,motorcycle,1.0,1,Metropolitian,42,10.565262855251524,10.0,32.0
38.0,3.9,Stormy,3,1,Meal,motorcycle,0.0,0,Metropolitian,42,12.100062421152574,10.0,32.0
35.0,4.7,Fog,3,1,Drinks,motorcycle,1.0,0,Metropolitian,34,4.657159718107683,10.0,24.0
29.0,4.7,Sandstorms,0,1,Snack,motorcycle,1.0,0,Metropolitian,17,2.981217855191797,15.0,2.0
27.0,4.6,Stormy,3,1,Snack,scooter,0.0,0,Metropolitian,25,4.56126563284071,5.0,20.0
38.0,4.3,Sandstorms,3,0,Meal,motorcycle,1.0,1,Semi-Urban,54,13.989916877275611,10.0,44.0
36.0,4.9,Windy,0,2,Buffet,motorcycle,0.0,0,Metropolitian,21,10.64228895373868,10.0,11.0
26.0,4.0,Cloudy,2,1,Buffet,motorcycle,1.0,0,Metropolitian,34,6.147404652636644,10.0,24.0
26.0,4.1,Fog,3,2,Meal,motorcycle,1.0,0,Metropolitian,36,13.428477357470895,5.0,31.0
36.0,4.9,Sunny,1,1,Drinks,motorcycle,0.0,0,Metropolitian,17,9.32728515796102,10.0,7.0
21.0,4.7,Sunny,0,0,Meal,motorcycle,1.0,0,Metropolitian,16,1.489792976782627,10.0,6.0
35.0,4.7,Sunny,3,2,Meal,electric_scooter,1.0,0,Metropolitian,27,12.418394742110447,10.0,17.0
20.0,4.5,Fog,2,2,Meal,motorcycle,1.0,0,Metropolitian,26,6.217860689144307,5.0,21.0
23.0,4.6,Fog,3,0,Snack,motorcycle,2.0,1,Metropolitian,46,13.787803344501583,15.0,31.0
37.0,5.0,Sunny,3,0,Buffet,motorcycle,0.0,0,Metropolitian,29,9.080187058763226,10.0,19.0
26.0,4.8,Sandstorms,3,0,Snack,motorcycle,1.0,0,Metropolitian,23,9.31544163550089,5.0,18.0
29.0,5.0,Sandstorms,0,1,Snack,scooter,1.0,0,Urban,11,12.161417162421785,15.0,-4.0
26.0,4.9,Stormy,1,1,Snack,motorcycle,0.0,0,Metropolitian,28,16.636875038860897,15.0,13.0
29.0,4.8,Cloudy,3,0,Meal,motorcycle,1.0,0,Metropolitian,25,9.192951167083441,5.0,20.0
29.0,4.7,Sandstorms,0,2,Snack,motorcycle,0.0,0,Metropolitian,11,3.0182264849996012,15.0,-4.0
21.0,4.9,Windy,1,1,Meal,scooter,1.0,0,Metropolitian,26,4.395420246829376,10.0,16.0
22.0,4.3,Stormy,0,0,Meal,motorcycle,1.0,0,Metropolitian,23,3.109059104393369,15.0,8.0
31.0,4.0,Fog,1,1,Snack,motorcycle,2.0,0,Metropolitian,39,11.916582838288104,15.0,24.0
20.0,4.5,Fog,0,1,Snack,motorcycle,0.0,0,Metropolitian,11,3.1162485097900614,10.0,1.0
30.0,3.9,Stormy,3,2,Drinks,electric_scooter,1.0,0,Metropolitian,32,12.116950608888414,15.0,17.0
36.0,4.8,Fog,1,0,Snack,motorcycle,1.0,0,Metropolitian,43,10.868263117988388,15.0,28.0
24.0,4.7,Fog,1,1,Buffet,scooter,1.0,0,Metropolitian,13,6.218153086065015,10.0,3.0
32.0,4.7,Windy,0,2,Buffet,electric_scooter,0.0,0,Metropolitian,25,1.554424975889475,10.0,15.0
25.0,5.0,Windy,1,1,Drinks,motorcycle,0.0,0,Metropolitian,27,9.313017158714828,5.0,22.0
27.0,4.5,Windy,1,2,Drinks,scooter,1.0,0,Metropolitian,29,6.147106622705506,15.0,14.0
32.0,4.1,Sandstorms,1,0,Buffet,motorcycle,1.0,0,Metropolitian,33,10.867300462045835,15.0,18.0
23.0,4.7,Fog,1,1,Drinks,motorcycle,1.0,0,Urban,19,6.209259882041872,10.0,9.0
39.0,4.4,Sunny,1,0,Meal,motorcycle,1.0,0,Metropolitian,33,20.18085916835158,5.0,28.0
20.0,4.8,Fog,3,1,Snack,motorcycle,1.0,0,Metropolitian,28,9.435201537430713,5.0,23.0
20.0,4.8,Windy,1,2,Drinks,electric_scooter,0.0,0,Metropolitian,15,11.919755989352295,10.0,5.0
29.0,4.6,Stormy,3,1,Meal,scooter,1.0,0,Metropolitian,29,4.494291162003504,15.0,14.0
26.0,4.9,Stormy,0,2,Meal,scooter,1.0,0,Metropolitian,18,20.85172635753384,10.0,8.0
25.0,5.0,Stormy,0,1,Meal,motorcycle,1.0,0,Metropolitian,14,1.5605734793807475,10.0,4.0
34.0,4.7,Windy,1,1,Snack,motorcycle,1.0,0,Metropolitian,30,6.2105896103141776,10.0,20.0
31.0,4.9,Sunny,2,0,Snack,motorcycle,0.0,0,Metropolitian,28,6.175283575308341,15.0,13.0
24.0,4.7,Fog,3,0,Snack,motorcycle,1.0,0,Metropolitian,39,20.44292976252901,5.0,34.0
30.0,4.9,Cloudy,1,2,Meal,motorcycle,0.0,0,Metropolitian,30,13.830084721845328,10.0,20.0
36.0,4.8,Sandstorms,1,0,Buffet,motorcycle,1.0,0,Metropolitian,36,19.37374583495492,5.0,31.0
36.0,4.4,Fog,0,0,Snack,motorcycle,1.0,0,Metropolitian,37,20.857115324129595,15.0,22.0
26.0,4.7,Cloudy,3,0,Meal,motorcycle,1.0,0,Metropolitian,43,20.851557402660557,5.0,38.0
30.0,4.6,Sunny,0,2,Buffet,scooter,1.0,0,Metropolitian,29,16.659963190057415,10.0,19.0
20.0,4.8,Stormy,1,2,Drinks,scooter,1.0,0,Metropolitian,25,4.717601092054723,10.0,15.0
33.0,4.7,Fog,1,2,Buffet,electric_scooter,1.0,0,Urban,15,7.76260023979039,15.0,0.0
34.0,4.0,Windy,3,0,Snack,motorcycle,2.0,0,Metropolitian,39,13.76685500858734,5.0,34.0
36.0,4.6,Windy,0,0,Buffet,motorcycle,1.0,0,Metropolitian,20,12.293677673573285,10.0,10.0
33.0,4.6,Fog,0,1,Buffet,motorcycle,1.0,0,Metropolitian,15,2.9846372692856606,10.0,5.0
22.0,4.8,Sandstorms,0,1,Drinks,motorcycle,1.0,0,Metropolitian,16,16.78827586251448,10.0,6.0
38.0,4.7,Sunny,0,2,Drinks,scooter,1.0,0,Metropolitian,19,1.5320227740641719,10.0,9.0
27.0,4.9,Fog,0,2,Drinks,scooter,0.0,0,Metropolitian,20,12.421407858787804,15.0,5.0
32.0,4.8,Sunny,3,2,Meal,scooter,1.0,0,Metropolitian,25,10.44477615516592,10.0,15.0
26.0,4.8,Cloudy,3,0,Snack,motorcycle,1.0,0,Metropolitian,43,12.420750050313671,10.0,33.0
29.0,4.5,Windy,0,0,Drinks,motorcycle,0.0,0,Urban,15,19.659373527443684,10.0,5.0
31.0,4.5,Sunny,3,0,Buffet,motorcycle,0.0,0,Urban,29,12.46418980459368,15.0,14.0
28.0,4.6,Stormy,2,2,Drinks,motorcycle,0.0,0,Metropolitian,14,6.146243658393431,15.0,-1.0
21.0,4.8,Sunny,1,1,Buffet,motorcycle,1.0,0,Metropolitian,11,8.92908688893574,10.0,1.0
21.0,4.0,Sandstorms,0,0,Buffet,motorcycle,1.0,0,Metropolitian,19,7.79036212453358,5.0,14.0
30.0,4.9,Windy,0,1,Drinks,motorcycle,1.0,0,Metropolitian,29,12.58026782240096,10.0,19.0
29.0,4.7,Cloudy,1,2,Buffet,motorcycle,1.0,0,Urban,11,5.992096714696517,5.0,6.0
20.0,4.8,Sunny,2,1,Snack,motorcycle,0.0,0,Metropolitian,14,1.5297232853100242,10.0,4.0
28.0,5.0,Windy,0,0,Snack,motorcycle,0.0,0,Urban,15,13.73594217639692,10.0,5.0
25.0,4.7,Sandstorms,0,0,Meal,motorcycle,1.0,0,Metropolitian,16,10.705559922396555,10.0,6.0
38.0,4.8,Stormy,0,1,Buffet,motorcycle,1.0,0,Metropolitian,20,3.1048037532854496,5.0,15.0
39.0,4.9,Stormy,0,1,Drinks,motorcycle,1.0,0,Metropolitian,26,4.610073053799191,10.0,16.0
26.0,4.9,Windy,1,1,Snack,scooter,0.0,0,Metropolitian,26,9.122100805601145,5.0,21.0
33.0,4.4,Windy,3,1,Meal,motorcycle,0.0,0,Urban,43,10.906036622245482,15.0,28.0
